year,beat_id,alleg_id,officer_gender,officer_race,complainent_gender,complainent_race,final_finding
2018,93,1088848,M,White,M,Black,SU
2014,277,1072045,M,Black,F,Black,NS
2007,224,1011067,M,Black,M,White,SU
2013,276,1067091,M,White,F,Black,NS
2009,233,1023683,M,White,F,Black,NS
2009,267,1032431,M,Black,M,Black,NS
2009,239,1029957,M,Black,M,Black,NS
2010,192,1042415,M,White,M,Black,NS
2013,106,1065749,M,Black,F,Black,NS
2008,252,1016069,M,Black,M,White,SU
2008,252,1016069,M,Black,M,White,SU
2008,269,1022542,M,White,F,White,SU
2008,269,1022542,M,White,F,White,SU
2010,174,1042043,F,Hispanic,F,White,SU
2010,2,1042143,M,White,M,White,NS
2010,2,1042143,M,White,M,White,NS
2011,228,1048510,M,Native American/Alaskan Native,F,White,SU
2012,42,1053767,M,White,M,White,SU
2012,42,1053767,M,White,M,White,SU
2015,140,1075972,M,Black,M,White,SU
2007,133,1002968,M,Hispanic,M,White,SU
2007,133,1002968,M,Hispanic,M,White,SU
2007,240,1002590,M,Black,F,Black,SU
2007,240,1002590,M,Black,M,Black,SU
2007,240,1002590,M,Black,F,Black,SU
2007,229,1003872,M,Black,M,White,SU
2007,229,1003872,M,Black,M,White,SU
2016,220,1081744,M,Hispanic,M,Black,NS
2016,220,1081744,M,Hispanic,F,Black,NS
2016,220,1081744,M,Hispanic,M,Black,NS
2016,155,1081357,M,White,F,Hispanic,NS
2016,155,1081357,M,White,F,Hispanic,NS
2016,86,1081379,M,Hispanic,F,Black,NS
2016,86,1081379,M,Hispanic,F,Black,NS
2016,98,1081410,M,Black,F,Black,SU
2016,98,1081410,M,Black,F,Black,SU
2016,2,1081465,F,White,M,White,SU
2016,2,1081465,F,White,M,White,SU
2016,98,1081486,M,White,M,White,SU
2016,98,1081486,M,White,M,White,SU
2016,271,1081657,F,White,M,Black,SU
2016,271,1081657,F,White,M,Black,SU
2016,220,1081744,M,Hispanic,M,Black,NS
2016,220,1081744,M,Hispanic,F,Black,NS
2016,220,1081744,M,Hispanic,M,Black,NS
2016,173,1081837,M,Hispanic,M,Hispanic,SU
2016,173,1081837,M,Hispanic,M,Hispanic,SU
2016,153,1081854,M,Hispanic,F,White,SU
2016,153,1081854,M,White,F,White,SU
2016,49,1081899,M,Hispanic,M,White,SU
2016,49,1081899,M,Hispanic,M,White,SU
2016,140,1081900,F,Black,M,Black,NS
2016,140,1081900,F,Black,M,Black,NS
2016,18,1082003,M,Hispanic,F,White,SU
2016,18,1082003,M,Hispanic,F,White,SU
2016,247,1082059,F,Hispanic,M,White,SU
2016,247,1082059,F,Hispanic,M,White,SU
2016,247,1082059,M,Black,M,White,SU
2016,247,1082059,M,Black,M,White,SU
2012,263,1082060,M,White,M,Black,NS
2012,263,1082060,M,White,M,Black,NS
2016,2,1082127,F,White,F,White,SU
2016,2,1082127,F,White,F,White,SU
2016,160,1082199,M,Black,M,White,SU
2016,160,1082199,M,Black,M,White,SU
2016,263,1082210,M,White,F,Black,NS
2016,263,1082210,M,White,F,Black,NS
2016,132,1082255,M,White,M,White,NS
2016,132,1082255,M,White,M,White,NS
2016,153,1082273,M,Hispanic,F,Black,SU
2016,153,1082273,M,Hispanic,F,Black,SU
2016,153,1082273,M,Black,F,Black,SU
2016,153,1082273,M,Hispanic,F,Black,SU
2016,153,1082273,M,Hispanic,F,Black,SU
2016,153,1082273,M,Black,F,Black,SU
2016,132,1082303,M,Hispanic,M,Black,NS
2016,132,1082303,M,Hispanic,M,Black,NS
2016,132,1082303,M,White,M,Black,NS
2016,132,1082303,M,White,M,Black,NS
2016,132,1082303,M,White,M,Black,NS
2016,132,1082303,M,White,M,Black,NS
2016,276,1082353,F,Hispanic,F,Hispanic,NS
2016,276,1082353,F,Hispanic,F,Hispanic,NS
2016,141,1082435,M,Hispanic,M,Black,SU
2016,141,1082435,M,Hispanic,M,Black,SU
2016,141,1082435,M,White,M,Black,NS
2016,141,1082435,M,White,M,Black,NS
2016,140,1082456,F,Hispanic,F,White,SU
2016,140,1082456,F,Hispanic,F,White,SU
2016,38,1082660,M,White,M,White,SU
2016,38,1082660,M,White,M,Black,SU
2016,38,1082660,M,White,M,Black,SU
2016,136,1082724,M,Black,M,White,SU
2016,136,1082724,M,Black,M,White,SU
2016,258,1082781,M,White,F,Black,SU
2016,258,1082781,M,White,F,Black,SU
2016,253,1082783,M,Hispanic,M,White,SU
2016,253,1082783,M,Hispanic,M,White,SU
2015,67,1082786,F,White,M,Black,NS
2015,67,1082786,F,White,M,Black,NS
2016,57,1082973,F,Black,M,White,SU
2016,57,1082973,F,Black,M,White,SU
2016,209,1083059,M,White,M,Black,NS
